# ccx tau_xx tau_yy tau_zz
0.182244 -8.40999 -0.000348866 0
0.183646 -8.39896 -0.000345655 0
0.18505 -8.38802 -0.000342299 0
0.186459 -8.37716 -0.000338769 0
0.18787 -8.36638 -0.000335423 0
0.189285 -8.35569 -0.000332223 0
0.190703 -8.34506 -0.000329118 0
0.192124 -8.33452 -0.000326044 0
0.193549 -8.32404 -0.000322906 0
0.194978 -8.31365 -0.000319876 0
0.196409 -8.30332 -0.000316986 0
0.197844 -8.29306 -0.000314096 0
0.199282 -8.28288 -0.000311229 0
0.200724 -8.27276 -0.000308259 0
0.202169 -8.26271 -0.000305315 0
0.203618 -8.25274 -0.000302536 0
0.20507 -8.24283 -0.000300014 0
0.206525 -8.23299 -0.000296834 0
0.207903 -8.22376 -0.000293674 0
0.209207 -8.21507 -0.000291984 0
0.210526 -8.20636 -0.000289174 0
0.211859 -8.19764 -0.000286814 0
0.213207 -8.18889 -0.000284627 0
0.214569 -8.18011 -0.00028244 0
0.215947 -8.17131 -0.00028016 0
0.217339 -8.16249 -0.000277846 0
0.218746 -8.15365 -0.000275689 0
0.220168 -8.14478 -0.000273585 0
0.221606 -8.13589 -0.000271457 0
0.22306 -8.12698 -0.000269255 0
0.224529 -8.11804 -0.000266985 0
0.226015 -8.10908 -0.000264746 0
0.227516 -8.10011 -0.0002626 0
0.229034 -8.09111 -0.000260487 0
0.230569 -8.08209 -0.000258408 0
0.23212 -8.07304 -0.000256261 0
0.233687 -8.06398 -0.00025406 0
0.235272 -8.05489 -0.000251958 0
0.236875 -8.04579 -0.000249874 0
0.238494 -8.03666 -0.000247825 0
0.240131 -8.02752 -0.00024567 0
0.241786 -8.01835 -0.000243478 0
0.243459 -8.00917 -0.000241444 0
0.24515 -7.99997 -0.00023945 0
0.24686 -7.99075 -0.000237461 0
0.248588 -7.98151 -0.000235352 0
0.250335 -7.97225 -0.000233224 0
0.252101 -7.96298 -0.000231216 0
0.253886 -7.95368 -0.000229223 0
0.25569 -7.94437 -0.000227248 0
0.257514 -7.93504 -0.000225219 0
0.259358 -7.9257 -0.00022319 0
0.261222 -7.91634 -0.000221234 0
0.263106 -7.90696 -0.000219306 0
0.265011 -7.89756 -0.000217342 0
0.266937 -7.88815 -0.000215316 0
0.268883 -7.87872 -0.00021337 0
0.27085 -7.86928 -0.000211485 0
0.272839 -7.85982 -0.000209637 0
0.27485 -7.85035 -0.000207661 0
0.276882 -7.84086 -0.000206002 0
0.278936 -7.83134 -0.00020484 0
