0 	-0.000100646
5.05051e-05 	-0.000110397
0.00010101 	-0.000102972
0.000151515 	-0.000103011
0.00020202 	-0.000101724
0.000252525 	-9.85243e-05
0.00030303 	-9.82522e-05
0.000353535 	-9.57341e-05
0.00040404 	-9.22601e-05
0.000454545 	-9.39619e-05
0.000505051 	-8.40466e-05
0.000555556 	-9.04826e-05
0.000606061 	-7.97613e-05
0.000656566 	-8.00253e-05
0.000707071 	-7.95219e-05
0.000757576 	-6.78034e-05
0.000808081 	-7.23457e-05
0.000858586 	-6.8125e-05
0.000909091 	-5.87405e-05
0.000959596 	-6.21995e-05
0.0010101 	-5.84014e-05
0.00106061 	-4.82667e-05
0.00111111 	-5.04869e-05
0.00116162 	-4.9994e-05
0.00121212 	-4.08398e-05
0.00126263 	-3.79038e-05
0.00131313 	-3.95829e-05
0.00136364 	-3.42291e-05
0.00141414 	-2.60132e-05
0.00146465 	-2.59423e-05
0.00151515 	-2.63449e-05
0.00156566 	-2.06081e-05
0.00161616 	-1.32606e-05
0.00166667 	-1.28054e-05
0.00171717 	-1.30623e-05
0.00176768 	-8.5201e-06
0.00181818 	-1.94812e-06
0.00186869 	9.17718e-07
0.00191919 	1.15261e-06
0.0019697 	2.67585e-06
0.0020202 	8.43936e-06
0.00207071 	1.43402e-05
0.00212121 	1.54549e-05
0.00217172 	1.60989e-05
0.00222222 	1.82566e-05
0.00227273 	2.35925e-05
0.00232323 	2.89285e-05
0.00237374 	3.0534e-05
0.00242424 	3.14805e-05
0.00247475 	3.31191e-05
0.00252525 	3.74491e-05
0.00257576 	4.23276e-05
0.00262626 	4.58289e-05
0.00267677 	4.69957e-05
0.00272727 	4.81626e-05
0.00277778 	5.03646e-05
0.00282828 	5.48602e-05
0.00287879 	5.93558e-05
0.00292929 	6.24507e-05
0.0029798 	6.37589e-05
0.0030303 	6.50671e-05
0.00308081 	6.70078e-05
0.00313131 	7.08719e-05
0.00318182 	7.50512e-05
0.00323232 	7.91812e-05
0.00328283 	8.05796e-05
0.00333333 	8.19779e-05
0.00338384 	8.33763e-05
0.00343434 	8.5778e-05
0.00348485 	8.97056e-05
0.00353535 	9.36332e-05
0.00358586 	9.73998e-05
0.00363636 	9.8862e-05
0.00368687 	0.000100324
0.00373737 	0.000101786
0.00378788 	0.000103781
0.00383838 	0.000107223
0.00388889 	0.000110918
0.00393939 	0.000114613
0.0039899 	0.00011712
0.0040404 	0.000118608
0.00409091 	0.000120097
0.00414141 	0.000121585
0.00419192 	0.000123629
0.00424242 	0.000127045
0.00429293 	0.000130518
0.00434343 	0.000133992
0.00439394 	0.000136693
0.00444444 	0.000138185
0.00449495 	0.000139676
0.00454545 	0.000141168
0.00459596 	0.000142918
0.00464646 	0.00014547
0.00469697 	0.000148772
0.00474747 	0.000152074
0.00479798 	0.000155376
0.00484848 	0.000157663
0.00489899 	0.000159174
0.00494949 	0.000160686
0.005 	0.000162198
