# y+ ()        
# Time         	patch          	min            	max            	average        
3900           	bottomWall	4.27907260e+00	1.09912165e+01	5.02383728e+00
4000           	topWall	5.93149664e-02	6.79422709e-01	5.69700221e-01
4000           	bottomWall	4.27907292e+00	1.09912165e+01	5.02383797e+00
4100           	topWall	5.93149627e-02	6.79422686e-01	5.69700262e-01
4100           	bottomWall	4.27907358e+00	1.09912165e+01	5.02383792e+00
4200           	topWall	5.93149584e-02	6.79422629e-01	5.69700270e-01
4200           	bottomWall	4.27907453e+00	1.09912165e+01	5.02383877e+00
4300           	topWall	5.93149605e-02	6.79422559e-01	5.69700254e-01
4300           	bottomWall	4.27907562e+00	1.09912165e+01	5.02383944e+00
4400           	topWall	5.93149611e-02	6.79422457e-01	5.69700227e-01
4400           	bottomWall	4.27907682e+00	1.09912166e+01	5.02383897e+00
4500           	topWall	5.93149598e-02	6.79422344e-01	5.69700186e-01
4500           	bottomWall	4.27907802e+00	1.09912166e+01	5.02383947e+00
4600           	topWall	5.93149575e-02	6.79422221e-01	5.69700123e-01
4600           	bottomWall	4.27907921e+00	1.09912167e+01	5.02384004e+00
4700           	topWall	5.93149563e-02	6.79422083e-01	5.69700052e-01
4700           	bottomWall	4.27908033e+00	1.09912166e+01	5.02383951e+00
4800           	topWall	5.93149544e-02	6.79421952e-01	5.69699974e-01
4800           	bottomWall	4.27908140e+00	1.09912167e+01	5.02383981e+00
4900           	topWall	5.93149544e-02	6.79421821e-01	5.69699890e-01
4900           	bottomWall	4.27908237e+00	1.09912166e+01	5.02384032e+00
5000           	topWall	5.93149500e-02	6.79421691e-01	5.69699804e-01
5000           	bottomWall	4.27908329e+00	1.09912167e+01	5.02383972e+00
