# Residuals    
# Time         	p              	Ux             	Uy             
0.0001         	1.00000000e+00	1.00000000e+00	0.00000000e+00
0.0002         	1.29292970e-03	1.04019340e-01	2.02667960e-01
0.0003         	7.52831360e-04	5.80144320e-02	1.12060870e-01
0.0004         	6.80117400e-04	3.93529730e-02	7.41037440e-02
0.0005         	7.77998660e-04	2.90365800e-02	5.34172210e-02
0.0006         	6.51875380e-04	2.24142410e-02	4.02890690e-02
0.0007         	8.16194380e-04	1.86076180e-02	3.36124130e-02
0.0008         	7.23855440e-04	1.55784830e-02	2.78816370e-02
0.0009         	8.03722300e-04	1.36568580e-02	2.47143170e-02
0.001          	7.28254350e-04	1.19425470e-02	2.15137730e-02
0.0011         	8.31474790e-04	1.05570870e-02	1.89246740e-02
0.0012         	8.01884600e-04	9.57448630e-03	1.72989590e-02
0.0013         	8.35436890e-04	8.74242580e-03	1.58790760e-02
0.0014         	8.83569000e-04	8.04787420e-03	1.46966250e-02
0.0015         	1.03065220e-03	7.44550680e-03	1.36491100e-02
0.0016         	1.06747950e-03	6.86756530e-03	1.25504060e-02
0.0017         	9.86080220e-04	6.40864060e-03	1.17448950e-02
0.0018         	1.01287210e-03	5.89576510e-03	1.06773950e-02
0.0019         	1.27589890e-03	5.44448960e-03	9.75097490e-03
0.002          	1.04481570e-03	5.14840220e-03	9.28311130e-03
0.0021         	1.09672420e-03	4.81295930e-03	8.62783650e-03
0.0022         	1.05101700e-03	4.57262620e-03	8.24495890e-03
0.0023         	1.15819840e-03	4.32597560e-03	7.80233100e-03
0.0024         	1.27113030e-03	4.08322640e-03	7.33839420e-03
0.0025         	1.43583110e-03	3.85441100e-03	6.89257130e-03
0.0026         	1.23347460e-03	3.70345520e-03	6.67935730e-03
0.0027         	1.23275060e-03	3.56413000e-03	6.47864460e-03
0.0028         	1.17769430e-03	3.44200150e-03	6.31066450e-03
0.0029         	1.23270200e-03	3.25400040e-03	5.90280700e-03
0.003          	1.25959770e-03	3.08401530e-03	5.54920970e-03
0.0031         	1.29333290e-03	2.97265290e-03	5.37635480e-03
0.0032         	1.38976080e-03	2.82700270e-03	5.08042410e-03
0.0033         	1.56090000e-03	2.70467960e-03	4.84826630e-03
0.0034         	1.30467190e-03	2.61995440e-03	4.72588430e-03
0.0035         	1.31048500e-03	2.53170130e-03	4.58185600e-03
0.0036         	1.32091030e-03	2.44973940e-03	4.44925840e-03
0.0037         	1.33401780e-03	2.37607280e-03	4.33438250e-03
0.0038         	1.27528480e-03	2.31871030e-03	4.26323570e-03
0.0039         	1.27452300e-03	2.25855000e-03	4.17540350e-03
0.004          	1.34228790e-03	2.15481400e-03	3.94151080e-03
0.0041         	1.51246360e-03	2.06064150e-03	3.73403530e-03
0.0042         	1.37500520e-03	1.99751910e-03	3.62126290e-03
0.0043         	1.45502400e-03	1.92705750e-03	3.47977660e-03
0.0044         	1.33335180e-03	1.88766870e-03	3.43414610e-03
0.0045         	1.32725700e-03	1.83835100e-03	3.35271540e-03
0.0046         	1.32392110e-03	1.79249920e-03	3.27796110e-03
0.0047         	1.35797280e-03	1.75053460e-03	3.21139370e-03
0.0048         	1.37754120e-03	1.71639120e-03	3.16607270e-03
0.0049         	1.32197000e-03	1.70108980e-03	3.17781610e-03
0.005          	1.37139560e-03	1.63576510e-03	3.02489440e-03
0.0051         	1.52925640e-03	1.56825060e-03	2.86392640e-03
0.0052         	1.43133910e-03	1.52823510e-03	2.78964660e-03
0.0053         	1.42958460e-03	1.48452290e-03	2.70238680e-03
0.0054         	1.44332900e-03	1.45287480e-03	2.65140670e-03
0.0055         	1.36096620e-03	1.42532060e-03	2.61168570e-03
0.0056         	1.43938690e-03	1.39706770e-03	2.56835000e-03
0.0057         	1.36497740e-03	1.36533250e-03	2.51154010e-03
0.0058         	1.37961270e-03	1.34219510e-03	2.47943330e-03
0.0059         	1.42259380e-03	1.32113510e-03	2.45161570e-03
0.006          	1.44843980e-03	1.31900570e-03	2.48036370e-03
0.0061         	1.43801880e-03	1.27665160e-03	2.38304350e-03
0.0062         	1.40488500e-03	1.22458390e-03	2.25660900e-03
0.0063         	1.57167020e-03	1.19158610e-03	2.18694930e-03
0.0064         	1.39737640e-03	1.17024260e-03	2.15183570e-03
0.0065         	1.49922460e-03	1.14582100e-03	2.10601430e-03
0.0066         	1.55709680e-03	1.12895530e-03	2.08245990e-03
0.0067         	1.34531370e-03	1.11444540e-03	2.06572890e-03
0.0068         	1.33808630e-03	1.09971030e-03	2.04706790e-03
0.0069         	1.36830170e-03	1.08657560e-03	2.03183980e-03
0.007          	1.41848160e-03	1.07571470e-03	2.02225700e-03
0.0071         	1.46230460e-03	1.06024140e-03	1.99719060e-03
0.0072         	1.43634610e-03	1.03782210e-03	1.94997360e-03
0.0073         	1.43414810e-03	1.03192460e-03	1.95263100e-03
0.0074         	1.45520900e-03	9.98337540e-04	1.87088710e-03
0.0075         	1.62647060e-03	9.63776460e-04	1.78828020e-03
0.0076         	1.45000080e-03	9.49957500e-04	1.76626210e-03
0.0077         	1.37292990e-03	9.35863840e-04	1.74286340e-03
0.0078         	1.41523800e-03	9.20787190e-04	1.71587890e-03
0.0079         	1.45662520e-03	8.98565910e-04	1.66820070e-03
0.008          	1.39020080e-03	8.98142250e-04	1.68340180e-03
0.0081         	1.42264020e-03	8.88095190e-04	1.67033030e-03
0.0082         	1.33329500e-03	8.79265370e-04	1.65995980e-03
0.0083         	1.31384840e-03	8.71028960e-04	1.65051780e-03
0.0084         	1.31482940e-03	8.66101040e-04	1.65015180e-03
0.0085         	1.49935580e-03	8.58461840e-04	1.64144100e-03
0.0086         	1.35965220e-03	8.42001720e-04	1.60587980e-03
0.0087         	1.45887360e-03	8.27337120e-04	1.57493810e-03
0.0088         	1.46288900e-03	8.17125570e-04	1.55686330e-03
0.0089         	1.46561150e-03	7.90135090e-04	1.49146480e-03
0.009          	1.53709760e-03	7.78586380e-04	1.46954860e-03
0.0091         	1.35513870e-03	7.68163920e-04	1.45034470e-03
0.0092         	1.36017830e-03	7.57314810e-04	1.42981700e-03
0.0093         	1.43474180e-03	7.47052060e-04	1.41095230e-03
0.0094         	1.45158240e-03	7.32754760e-04	1.38089010e-03
0.0095         	1.44773770e-03	7.31973510e-04	1.38847710e-03
0.0096         	1.32353190e-03	7.25709600e-04	1.38086590e-03
0.0097         	1.35488700e-03	7.20353720e-04	1.37543560e-03
0.0098         	1.39301480e-03	7.15835530e-04	1.37188870e-03
0.0099         	1.33045740e-03	7.13289280e-04	1.37353650e-03
0.01           	1.36799590e-03	7.06802410e-04	1.36369890e-03
0.0101         	1.43653170e-03	6.95960860e-04	1.34151490e-03
0.0102         	1.42153410e-03	6.97633230e-04	1.35479730e-03
0.0103         	1.56556300e-03	6.76271090e-04	1.30153540e-03
0.0104         	1.45251990e-03	6.74918020e-04	1.30505670e-03
0.0105         	1.46741420e-03	6.52578500e-04	1.25152150e-03
0.0106         	1.59445610e-03	6.44401990e-04	1.23639550e-03
0.0107         	1.31765200e-03	6.37913670e-04	1.22522800e-03
0.0108         	1.32599050e-03	6.30811440e-04	1.21213270e-03
0.0109         	1.36464220e-03	6.22985850e-04	1.19682340e-03
0.011          	1.32972200e-03	6.16397400e-04	1.18534870e-03
0.0111         	1.32620510e-03	6.08444070e-04	1.17016360e-03
0.0112         	1.34838670e-03	6.06182610e-04	1.17102490e-03
0.0113         	1.26804040e-03	6.05453890e-04	1.17617550e-03
0.0114         	1.25443740e-03	6.02818710e-04	1.17562570e-03
0.0115         	1.31486770e-03	5.97094280e-04	1.16590140e-03
0.0116         	1.34635370e-03	5.91532060e-04	1.15638100e-03
0.0117         	1.55775600e-03	5.85905140e-04	1.14650620e-03
0.0118         	1.51454030e-03	5.77259760e-04	1.12807110e-03
0.0119         	1.32623980e-03	5.82428390e-04	1.14846640e-03
0.012          	1.40761460e-03	5.70778760e-04	1.12104460e-03
0.0121         	1.40705390e-03	5.67035160e-04	1.11611100e-03
0.0122         	1.33748130e-03	5.62612760e-04	1.10787940e-03
0.0123         	1.40965740e-03	5.50038930e-04	1.07904270e-03
0.0124         	1.59611240e-03	5.39461780e-04	1.05560990e-03
0.0125         	1.32375250e-03	5.35850310e-04	1.05053130e-03
0.0126         	1.27561360e-03	5.31239320e-04	1.04248010e-03
0.0127         	1.26292210e-03	5.27390890e-04	1.03635070e-03
0.0128         	1.25897050e-03	5.24313500e-04	1.03241200e-03
0.0129         	1.27306240e-03	5.22155000e-04	1.03104420e-03
0.013          	1.37737750e-03	5.15661170e-04	1.01743000e-03
0.0131         	1.45043960e-03	5.04900890e-04	9.92755430e-04
0.0132         	1.39884610e-03	5.14399530e-04	1.02193930e-03
0.0133         	1.30837020e-03	5.03826820e-04	9.97887510e-04
0.0134         	1.36145020e-03	4.99069650e-04	9.89007500e-04
0.0135         	1.31763760e-03	4.97557920e-04	9.88577710e-04
0.0136         	1.32479460e-03	4.97707340e-04	9.92340040e-04
0.0137         	1.37803870e-03	4.88536180e-04	9.71322630e-04
0.0138         	1.35799650e-03	4.87613770e-04	9.72276080e-04
0.0139         	1.44043330e-03	4.83721050e-04	9.65274560e-04
0.014          	1.26244410e-03	4.84605650e-04	9.70755980e-04
0.0141         	1.38444830e-03	4.83024550e-04	9.69734310e-04
0.0142         	1.36045560e-03	4.70617990e-04	9.39216280e-04
0.0143         	1.34736850e-03	4.74566520e-04	9.51432510e-04
0.0144         	1.26464190e-03	4.57781000e-04	9.12430790e-04
0.0145         	1.40471780e-03	4.54128040e-04	9.05908190e-04
0.0146         	1.26768040e-03	4.51395860e-04	9.01548190e-04
0.0147         	1.25417830e-03	4.48783170e-04	8.97400740e-04
0.0148         	1.27876570e-03	4.46729570e-04	8.94687540e-04
0.0149         	1.22984480e-03	4.43988560e-04	8.90418000e-04
0.015          	1.25697090e-03	4.41458270e-04	8.86805840e-04
0.0151         	1.30590800e-03	4.41047410e-04	8.88852660e-04
